name,pop,co2_per_capita
austria,34194167.21030387,27266.708129609844
belgium,56522572.1505563,6884.848014790326
bulgaria,21346919.564463418,1558.9167032971034
croatia,11848243.444313312,3963.382580749809
cyprus,668413.0103722287,2830.0298409462257
czech-republic,52720778.29760673,89058.80146064068
denmark,16781237.563596826,1138.7246971223342
estonia,5176545.556827491,165888.64848214653
finland,27523217.126496054,9361.215039997003
france,321233858.2377754,342659.3768941854
germany,419365843.59339315,161864.51650340174
great-britain,292034772.9472351,302864.6738546924
greece,54557516.354190245,4249.188645153294
hungary,59107416.79846924,32052.365879089044
iceland,1096128.2048352498,5103.997844895642
ireland-and-northern-ireland,17865428.89655322,1217.5272435362988
italy,244054498.8207801,76557.94940746075
latvia,5886633.930324519,1466.1393634162466
liechtenstein,113943.93227252696,55.37626338728373
lithuania,11458990.550142663,6707.265136565465
luxembourg,1700583.7307969457,3058.331898253158
malta,1171665.4420362827,266.25407447461373
netherlands,50796775.41993588,4623.014126791424
norway,15629927.70717348,5241.620139036588
poland,154330540.96755013,28862.69335335759
portugal,51129489.39820257,3440.832013707543
romania,50562452.68195046,4506.140479339672
slovakia,20483703.275383823,587.9730683198809
slovenia,3373256.7120138304,2084.11381310598
spain,174840647.54207787,158870.20646135302
sweden,19580305.325465083,14677.75367739024
switzerland,34619237.77000261,21604.87109781172
turkey,315212958.93782544,2466.857612531375
ukraine,206462367.2500046,303734.02826182154
